,index,team,player,location
121,175,England,John Stones,"[42.9, 54.0]"
122,177,England,Kyle Walker,"[57.1, 80.0]"
123,178,England,John Stones,"[24.6, 67.2]"
124,179,England,Jordan Pickford,"[10.6, 33.5]"
125,180,England,Luke Shaw,"[62.2, 4.6]"
126,181,England,Harry Maguire,"[39.3, 9.2]"
127,182,England,John Stones,"[37.1, 38.5]"
128,183,England,Kyle Walker,"[45.3, 55.9]"
129,184,England,Harry Maguire,"[49.6, 6.7]"
130,185,England,Luke Shaw,"[57.3, 1.4]"
131,186,England,Declan Rice,"[67.2, 4.3]"
132,187,England,Philip Foden,"[77.1, 9.9]"
133,188,England,Luke Shaw,"[94.2, 2.4]"
134,192,England,Declan Rice,"[20.0, 14.7]"
135,193,England,John Stones,"[7.9, 24.8]"
136,194,England,Jordan Pickford,"[6.0, 36.0]"
137,195,England,John Stones,"[14.9, 47.0]"
138,196,England,Declan Rice,"[30.8, 32.5]"
139,197,England,John Stones,"[27.0, 50.8]"
140,198,England,Kyle Walker,"[36.1, 65.8]"
141,199,England,Bukayo Saka,"[54.9, 71.1]"
142,201,England,Declan Rice,"[29.2, 55.9]"
143,202,England,Jordan Pickford,"[9.4, 43.1]"
144,203,England,Jude Bellingham,"[37.6, 40.7]"
145,204,England,Kyle Walker,"[9.6, 75.6]"
146,205,England,John Stones,"[18.8, 39.8]"
147,206,England,Jordan Brian Henderson,"[27.5, 46.5]"
148,207,England,John Stones,"[14.7, 35.7]"
149,208,England,Harry Maguire,"[26.0, 7.2]"
150,209,England,John Stones,"[37.8, 53.7]"
151,210,England,Kyle Walker,"[31.8, 63.8]"
152,211,England,Jordan Pickford,"[25.1, 32.5]"
153,212,England,Harry Maguire,"[33.0, 16.9]"
154,213,England,John Stones,"[36.1, 45.5]"
155,214,England,Kyle Walker,"[45.3, 64.8]"
156,215,England,Harry Maguire,"[62.2, 15.9]"
157,216,England,Jude Bellingham,"[56.4, 1.7]"
158,217,England,Philip Foden,"[69.4, 2.2]"
159,218,England,Jude Bellingham,"[51.1, 3.6]"
160,219,England,John Stones,"[43.6, 32.5]"
161,220,England,Kyle Walker,"[49.6, 52.8]"
162,226,England,Kyle Walker,"[74.9, 74.9]"
163,227,England,Philip Foden,"[120.0, 80.0]"
164,243,England,Declan Rice,"[12.5, 57.6]"
165,244,England,Bukayo Saka,"[18.8, 63.6]"
166,247,England,Harry Maguire,"[27.7, 23.4]"
167,249,England,Jordan Pickford,"[6.0, 44.0]"
168,250,England,John Stones,"[30.8, 46.0]"
169,251,England,Harry Maguire,"[25.5, 22.6]"
170,252,England,Luke Shaw,"[21.9, 8.4]"
171,253,England,Jordan Pickford,"[8.4, 44.6]"
172,254,England,John Stones,"[21.9, 67.0]"
173,260,England,Luke Shaw,"[61.9, 0.1]"
174,261,England,Declan Rice,"[49.2, 4.3]"
175,262,England,Jordan Brian Henderson,"[40.0, 30.4]"
176,263,England,Kyle Walker,"[43.6, 54.9]"
177,264,England,John Stones,"[34.2, 42.4]"
178,265,England,Kyle Walker,"[41.2, 55.2]"
179,266,England,John Stones,"[25.1, 44.8]"
180,267,England,Harry Maguire,"[26.5, 12.5]"
181,268,England,Jordan Pickford,"[13.5, 28.4]"
182,269,England,Harry Maguire,"[36.9, 5.3]"
183,270,England,Luke Shaw,"[51.8, 3.1]"
184,271,England,Harry Maguire,"[57.3, 12.3]"
185,274,England,Harry Maguire,"[39.8, 18.8]"
186,275,England,Luke Shaw,"[54.2, 3.4]"
187,276,England,Jude Bellingham,"[47.2, 10.4]"
188,277,England,Jordan Brian Henderson,"[41.9, 30.8]"
189,278,England,John Stones,"[47.7, 26.0]"
190,279,England,Harry Maguire,"[44.3, 5.5]"
191,280,England,John Stones,"[40.2, 35.4]"
192,281,England,Kyle Walker,"[51.8, 50.1]"
193,282,England,Harry Maguire,"[41.9, 11.3]"
194,283,England,John Stones,"[47.2, 47.5]"
195,284,England,Kyle Walker,"[53.7, 71.3]"
196,285,England,Jordan Brian Henderson,"[55.2, 57.8]"
197,286,England,John Stones,"[40.2, 47.0]"
198,287,England,Jordan Brian Henderson,"[74.4, 74.7]"
199,288,England,Bukayo Saka,"[84.3, 66.2]"
200,289,England,Declan Rice,"[75.2, 43.6]"
201,290,England,Luke Shaw,"[79.3, 4.8]"
202,291,England,Jude Bellingham,"[83.1, 10.4]"
203,292,England,Declan Rice,"[70.8, 16.6]"
204,293,England,John Stones,"[64.3, 31.8]"
205,294,England,Declan Rice,"[67.0, 12.8]"
206,295,England,Jude Bellingham,"[66.3, 2.2]"
207,296,England,Bukayo Saka,"[79.0, 13.3]"
208,297,England,Philip Foden,"[88.9, 13.5]"
209,298,England,Bukayo Saka,"[88.4, 10.4]"
210,299,England,Declan Rice,"[79.3, 1.6]"
211,300,England,Luke Shaw,"[67.3, 0.1]"
212,301,England,Harry Maguire,"[53.6, 20.5]"
213,302,England,John Stones,"[51.9, 36.4]"
214,303,England,Declan Rice,"[56.6, 27.6]"
215,304,England,John Stones,"[52.1, 58.6]"
216,305,England,Kyle Walker,"[38.8, 68.4]"
217,306,England,Jordan Pickford,"[20.7, 20.5]"
218,307,England,Harry Maguire,"[30.4, 10.6]"
219,308,England,Jordan Pickford,"[27.8, 30.3]"
220,309,England,John Stones,"[44.0, 48.0]"
221,311,England,Declan Rice,"[56.6, 47.4]"
222,312,England,Harry Maguire,"[35.9, 29.6]"
223,313,England,Kyle Walker,"[81.4, 80.0]"
224,314,England,Harry Kane,"[91.9, 69.9]"
225,315,England,Kyle Walker,"[80.9, 76.6]"
226,316,England,John Stones,"[55.7, 60.7]"
227,317,England,Harry Maguire,"[53.1, 28.6]"
228,318,England,Luke Shaw,"[65.2, 5.9]"
229,319,England,Harry Maguire,"[47.6, 22.1]"
230,320,England,John Stones,"[53.1, 48.0]"
231,321,England,Jordan Brian Henderson,"[67.3, 50.2]"
232,322,England,John Stones,"[50.5, 47.3]"
233,323,England,Jordan Brian Henderson,"[53.6, 50.3]"
234,324,England,John Stones,"[55.3, 34.3]"
235,325,England,Harry Maguire,"[62.0, 8.6]"
236,326,England,Luke Shaw,"[80.3, 3.9]"
237,327,England,Philip Foden,"[88.4, 10.0]"
238,328,England,Luke Shaw,"[82.6, 10.6]"
239,329,England,Philip Foden,"[81.4, 6.0]"
240,330,England,Jude Bellingham,"[83.1, 14.9]"
241,331,England,Harry Maguire,"[60.9, 13.7]"
242,332,England,Jude Bellingham,"[73.6, 3.9]"
243,333,England,Harry Maguire,"[50.4, 8.9]"
244,334,England,John Stones,"[47.2, 38.6]"
245,335,England,Jordan Brian Henderson,"[52.1, 55.1]"
246,336,England,John Stones,"[47.6, 46.4]"
247,361,England,Harry Maguire,"[52.1, 31.5]"
248,365,England,Jude Bellingham,"[61.5, 11.4]"
249,369,England,Kyle Walker,"[20.4, 64.4]"
250,370,England,Bukayo Saka,"[25.0, 77.1]"
251,372,England,Bukayo Saka,"[1.8, 60.1]"
252,373,England,Declan Rice,"[35.6, 56.8]"
253,374,England,Luke Shaw,"[50.4, 6.2]"
254,375,England,Harry Maguire,"[35.6, 13.8]"
255,376,England,John Stones,"[40.9, 39.6]"
256,377,England,Harry Maguire,"[44.3, 18.7]"
257,378,England,Philip Foden,"[58.3, 4.8]"
258,379,England,Harry Maguire,"[36.6, 12.6]"
259,380,England,Jordan Pickford,"[22.4, 34.0]"
260,381,England,John Stones,"[28.4, 51.4]"
261,382,England,Harry Maguire,"[38.8, 15.3]"
262,383,England,Jude Bellingham,"[50.5, 3.7]"
263,384,England,Harry Maguire,"[41.3, 19.9]"
264,385,England,Luke Shaw,"[89.5, 2.7]"
265,389,England,Harry Kane,"[96.2, 21.6]"
266,403,England,Jordan Pickford,"[6.0, 36.0]"
267,404,England,Harry Maguire,"[40.0, 23.8]"
268,405,England,John Stones,"[43.0, 48.7]"
269,411,England,Jordan Brian Henderson,"[12.9, 75.1]"
270,412,England,Bukayo Saka,"[17.2, 70.2]"
271,413,England,Kyle Walker,"[11.7, 63.9]"
272,414,England,Harry Kane,"[49.9, 51.3]"
273,415,England,Bukayo Saka,"[56.0, 58.0]"
274,416,England,Jude Bellingham,"[63.1, 49.1]"
275,417,England,Harry Kane,"[58.8, 56.9]"
276,418,England,Luke Shaw,"[75.3, 11.1]"
277,419,England,Philip Foden,"[86.7, 11.1]"
278,420,England,Luke Shaw,"[88.0, 3.7]"
279,421,England,Jude Bellingham,"[93.6, 8.9]"
280,422,England,Philip Foden,"[94.7, 3.3]"
281,423,England,Luke Shaw,"[84.8, 4.8]"
282,424,England,Declan Rice,"[72.5, 16.6]"
283,425,England,Harry Maguire,"[67.6, 31.2]"
284,426,England,John Stones,"[61.1, 49.1]"
285,427,England,Kyle Walker,"[64.6, 67.1]"
286,435,England,Jordan Pickford,"[6.0, 36.0]"
287,436,England,John Stones,"[26.7, 37.0]"
