match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3857295,2022-11-27,12:00:00.000,International - FIFA World Cup,2022,Japan,Costa Rica,0,1,available,available,2022-12-14T16:48:06.666898,2022-11-28T12:17:51.983904,2,Group Stage,Ahmad bin Ali Stadium,Michael Oliver,Hajime Moriyasu,Luis Fernando Suárez Guzman,1.1.0,2,2
3857266,2022-11-26,18:00:00.000,International - FIFA World Cup,2022,France,Denmark,2,1,available,available,2022-12-24T15:54:53.306433,2023-01-14T10:20:03.249094,2,Group Stage,Stadium 974,Szymon Marciniak,Didier Deschamps,Kasper Hjulmand,1.1.0,2,2
3857283,2022-11-27,15:00:00.000,International - FIFA World Cup,2022,Belgium,Morocco,0,2,available,available,2022-12-03T01:38:24.077584,2022-11-28T10:27:19.992068,2,Group Stage,Al Thumama Stadium,César Arturo Ramos Palazuelos,Roberto Martínez Montoliú,Walid Regragui,1.1.0,2,2
3857284,2022-11-23,15:00:00.000,International - FIFA World Cup,2022,Germany,Japan,1,2,available,available,2022-12-02T07:49:47.147408,2023-01-07T16:27:03.316509,1,Group Stage,Sheikh Khalifa International Stadium,Ivan Arcides Barton Cisneros,Hans-Dieter Flick,Hajime Moriyasu,1.1.0,2,2
3857282,2022-11-21,21:00:00.000,International - FIFA World Cup,2022,United States,Wales,1,1,available,available,2023-01-13T09:13:46.788933,2022-11-23T11:48:50.778380,1,Group Stage,Ahmad bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Gregg Berhalter,Robert Page,1.1.0,2,2
3857286,2022-11-20,18:00:00.000,International - FIFA World Cup,2022,Qatar,Ecuador,0,2,available,available,2022-12-07T12:25:41.064384,2023-01-19T13:41:54.565056,1,Group Stage,Al Bayt Stadium,Daniele Orsato,Félix Sánchez Bas,Gustavo Julio Alfaro,1.1.0,2,2
3857301,2022-11-25,15:00:00.000,International - FIFA World Cup,2022,Qatar,Senegal,1,3,available,available,2022-12-02T07:58:20.183096,2022-12-06T22:01:30.691647,2,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Félix Sánchez Bas,Aliou Cissé,1.1.0,2,2
3857300,2022-11-22,12:00:00.000,International - FIFA World Cup,2022,Argentina,Saudi Arabia,1,2,available,available,2022-12-04T07:09:44.183219,2022-11-26T09:05:24.851804,1,Group Stage,Lusail Stadium,Slavko Vinčić,Lionel Sebastián Scaloni,Hervé Renard,1.1.0,2,2
3857299,2022-11-28,15:00:00.000,International - FIFA World Cup,2022,South Korea,Ghana,2,3,available,available,2023-01-11T15:05:49.351319,2022-11-29T18:33:39.110608,2,Group Stage,Education City Stadium ,Anthony Taylor,Paulo Jorge Gomes Bento,Otto Addo,1.1.0,2,2
3857298,2022-11-24,18:00:00.000,International - FIFA World Cup,2022,Portugal,Ghana,3,2,available,available,2022-12-13T14:48:49.391663,2022-12-06T21:33:54.256636,1,Group Stage,Stadium 974,Ismail Elfath,Fernando Manuel Fernandes da Costa Santos,Otto Addo,1.1.0,2,2
3857297,2022-11-26,15:00:00.000,International - FIFA World Cup,2022,Poland,Saudi Arabia,2,0,available,available,2022-12-02T08:01:20.212458,2022-11-27T15:15:48.099180,2,Group Stage,Education City Stadium ,Wilton Pereira Sampaio,Czesław Michniewicz,Hervé Renard,1.1.0,2,2
3857296,2022-12-01,17:00:00.000,International - FIFA World Cup,2022,Croatia,Belgium,0,0,available,available,2022-12-06T22:55:50.167793,2022-12-12T07:22:49.863230,3,Group Stage,Ahmad bin Ali Stadium,Anthony Taylor,Zlatko Dalić,Roberto Martínez Montoliú,1.1.0,2,2
3857294,2022-11-29,17:00:00.000,International - FIFA World Cup,2022,Netherlands,Qatar,2,0,available,available,2022-12-10T15:07:30.661208,2022-12-27T15:02:19.134856,3,Group Stage,Al Bayt Stadium,Bakary Papa Gassama,Louis van Gaal,Félix Sánchez Bas,1.1.0,2,2
3857293,2022-12-02,17:00:00.000,International - FIFA World Cup,2022,Ghana,Uruguay,0,2,available,available,2023-01-08T03:57:15.812164,2023-01-19T09:24:25.967150,3,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Otto Addo,Diego Martín Alonso López,1.1.0,2,2
3857292,2022-12-01,21:00:00.000,International - FIFA World Cup,2022,Costa Rica,Germany,2,4,available,available,2022-12-28T12:12:04.712247,2022-12-02T19:29:39.997635,3,Group Stage,Al Bayt Stadium,Stéphanie Frappart,Luis Fernando Suárez Guzman,Hans-Dieter Flick,1.1.0,2,2
3857291,2022-11-23,18:00:00.000,International - FIFA World Cup,2022,Spain,Costa Rica,7,0,available,available,2022-12-02T07:50:43.164943,2022-12-21T15:58:39.758656,1,Group Stage,Al Thumama Stadium,,Luis Enrique Martínez García,Luis Fernando Suárez Guzman,1.1.0,2,2
3857290,2022-11-24,12:00:00.000,International - FIFA World Cup,2022,Switzerland,Cameroon,1,0,available,available,2022-12-21T13:19:21.497253,2023-01-04T11:43:14.946152,1,Group Stage,Al Janoub Stadium   ,Facundo Tello Figueroa,Murat Yakin,Rigobert Song Bahanag,1.1.0,2,2
3857289,2022-11-26,21:00:00.000,International - FIFA World Cup,2022,Argentina,Mexico,2,0,available,available,2023-01-22T04:01:13.565662,2022-11-28T11:11:01.911611,2,Group Stage,Lusail Stadium,Daniele Orsato,Lionel Sebastián Scaloni,Gerardo Daniel Martino,1.1.0,2,2
3857288,2022-11-26,12:00:00.000,International - FIFA World Cup,2022,Tunisia,Australia,0,1,available,available,2022-12-02T08:02:18.720657,2022-12-07T09:34:09.992486,2,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Jalel Kadri,Graham James Arnold,1.1.0,2,2
3857287,2022-11-24,15:00:00.000,International - FIFA World Cup,2022,Uruguay,South Korea,0,0,available,available,2022-12-02T07:54:31.283513,2023-01-16T11:52:54.926256,1,Group Stage,Education City Stadium ,Clément Turpin,Diego Martín Alonso López,Paulo Jorge Gomes Bento,1.1.0,2,2
